Model run by xnw17 using Apollo 0.3.6 on R 4.5.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : removebadcase_piecewise_rangeloss_car_suv_lc_6c_1
Model description                           : LC model with 6 classes, piecewise linear range and range loss
Model run at                                : 2026-06-18 18:26:05.851314
Estimation method                           : bgw
Estimation diagnosis                        : Relative function convergence (favorable)
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.306197
     reciprocal of condition number         : 3.95093e-06
Number of individuals                       : 2691
Number of rows in database                  : 16146
Number of modelled outcomes                 : 16146

Number of cores used                        :  6 
Model without mixing

LL(start)                                   : -14956.65
LL (whole model) at equal shares, LL(0)     : -22383.11
LL (whole model) at observed shares, LL(C)  : -22214.38
LL(final, whole model)                      : -14941.62
Rho-squared vs equal shares                  :  0.3325 
Adj.Rho-squared vs equal shares              :  0.3271 
Rho-squared vs observed shares               :  0.3274 
Adj.Rho-squared vs observed shares           :  0.3228 
AIC                                         :  30125.25 
BIC                                         :  31055.67 

LL(0,Class_1)                    : -22383.11
LL(final,Class_1)                : -60580.77
LL(0,Class_2)                    : -22383.11
LL(final,Class_2)                : -28420.93
LL(0,Class_3)                    : -22383.11
LL(final,Class_3)                : -32352.56
LL(0,Class_4)                    : -22383.11
LL(final,Class_4)                : -24853.58
LL(0,Class_5)                    : -22383.11
LL(final,Class_5)                : -20971.12
LL(0,Class_6)                    : -22383.11
LL(final,Class_6)                : -33829.76

Estimated parameters                        : 121
Time taken (hh:mm:ss)                       :  00:09:42.4 
     pre-estimation                         :  00:00:15.59 
     estimation                             :  00:00:11.83 
     post-estimation                        :  00:09:14.97 
Iterations                                  :  14  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)  p(2-sided)    Rob.s.e.
b_range_pw3_d                                     -0.009609                      0.028634
b_loss_pw1_d                                       0.001492                      0.028001
b_loss_pw2_d                                      -0.003704                      0.134542
b_loss_pw3_d                                       0.002380                      0.055804
b_packreplace_d                                    0.003783                     -0.026717
b_cellreplace_d                                    0.002952                     -0.029992
b_price_d                                          0.002758                     -0.042483
b_no_choice_e                                      0.009168                      0.060212
b_mileage_e                                        0.048923                      0.019540
b_range_pw1_e                                     -0.042140                      0.035224
b_range_pw2_e                                      0.060253                      0.002664
b_range_pw3_e                                      0.107839                     -0.001241
b_loss_pw1_e                                       0.048297                      0.008918
b_loss_pw2_e                                       0.039424                      0.060681
b_loss_pw3_e                                      -0.015739                      0.043662
b_packreplace_e                                   -0.036681                     -0.004671
b_cellreplace_e                                   -0.038811                     -0.014715
b_price_e                                         -0.044575                     -0.050928
b_no_choice_f                                     -0.007669                     -0.110027
b_mileage_f                                        0.001035                     -0.030976
b_range_pw1_f                                      0.002648                     -0.094362
b_range_pw2_f                                      0.002259                     -0.016875
b_range_pw3_f                                     -0.017073                     -0.012596
b_loss_pw1_f                                      -0.001293                     -0.042257
b_loss_pw2_f                                       0.001597                     -0.023068
b_loss_pw3_f                                    -3.4261e-04                     -0.027086
b_packreplace_f                                    0.001941                      0.001644
b_cellreplace_f                                    0.002359                      0.007988
b_price_f                                         -0.003309                     -0.059047
delta_b                                            0.052560                      0.058140
gamma_EV_rangeanxiety_b                           -0.066454                     -0.008776
gamma_risktaker_b                                  0.029410                      0.023319
gamma_hhincome_b                                  -0.094553                      0.009280
gamma_ev_charge_b                                 -0.014113                      0.020782
gamma_knowledge_ev_b                              -0.017640                      0.007530
gamma_evb_environment_agree_b                      0.057310                     -0.024031
gamma_evb_function_disagree_b                      0.007065                      0.022524
gamma_hhveh_fuel_b                                 0.003755                     -0.022216
gamma_veh_range_b                                 -0.005467                      0.052663
gamma_suv_b                                        0.022157                     -0.027846
delta_c                                            0.049722                     -0.025960
gamma_EV_rangeanxiety_c                           -0.066460                     -0.024650
gamma_risktaker_c                                  0.029951                     -0.022315
gamma_hhincome_c                                  -0.090240                     -0.011201
gamma_ev_charge_c                                 -0.017046                      0.012825
gamma_knowledge_ev_c                              -0.017185                      0.005411
gamma_evb_environment_agree_c                      0.051215                      0.024334
gamma_evb_function_disagree_c                      0.008302                      0.024317
gamma_hhveh_fuel_c                                 0.003574                      0.024711
gamma_veh_range_c                                 -0.005194                     -0.001198
gamma_suv_c                                        0.017561                     -0.058138
delta_d                                            0.051111                      0.028585
gamma_EV_rangeanxiety_d                           -0.070446                     -0.029327
gamma_risktaker_d                                  0.030424                     -0.028820
gamma_hhincome_d                                  -0.086692                     -0.005866
gamma_ev_charge_d                                 -0.012486                      0.019009
gamma_knowledge_ev_d                              -0.017795                     -0.008488
gamma_evb_environment_agree_d                      0.055323                      0.007084
gamma_evb_function_disagree_d                      0.008403                      0.005127
gamma_hhveh_fuel_d                                 0.002509                      0.004371
gamma_veh_range_d                                 -0.004967                     -0.043336
gamma_suv_d                                        0.019050                     -0.023625
delta_e                                            0.070804                      0.012133
gamma_EV_rangeanxiety_e                           -0.097677                     -0.014358
gamma_risktaker_e                                  0.043222                     -0.027404
gamma_hhincome_e                                  -0.135102                     -0.011018
gamma_ev_charge_e                                 -0.026109                     -0.008202
gamma_knowledge_ev_e                              -0.026303                      0.009337
gamma_evb_environment_agree_e                      0.083124                      0.013399
gamma_evb_function_disagree_e                      0.009131                      0.004945
gamma_hhveh_fuel_e                               8.4682e-04                     -0.001957
gamma_veh_range_e                                 -0.007651                     -0.012950
gamma_suv_e                                        0.046479                      0.001392
delta_f                                            0.047461                      0.014602
gamma_EV_rangeanxiety_f                           -0.066828                     -0.012376
gamma_risktaker_f                                  0.028573                     -0.019116
gamma_hhincome_f                                  -0.071003                      0.001132
gamma_ev_charge_f                                 -0.014077                     -0.019321
gamma_knowledge_ev_f                              -0.016188                     -0.006694
gamma_evb_environment_agree_f                      0.052192                      0.033461
gamma_evb_function_disagree_f                      0.008141                     -0.004336
gamma_hhveh_fuel_f                               8.2906e-04                     -0.011569
gamma_veh_range_f                                 -0.005439                     -0.010415
gamma_suv_f                                        0.016521                      0.014353
                                                b_mileage_b                 b_range_pw1_b
b_no_choice_a                                     -0.004170                    9.0274e-04
b_mileage_a                                        0.002462                     -0.004400
b_range_pw1_a                                     -0.004532                      0.001214
b_range_pw2_a                                      0.002305                     -0.001836
b_range_pw3_a                                     -0.002975                    7.3111e-04
b_loss_pw1_a                                     2.5779e-04                     -0.001180
b_loss_pw2_a                                      -0.004717                    -1.634e-05
b_loss_pw3_a                                     9.5624e-04                    1.6042e-04
b_packreplace_a                                   -0.002865                     -0.001162
b_cellreplace_a                                   -0.002357                   -2.1245e-04
b_price_a                                         -0.002268                      0.003007
b_no_choice_b                                      0.457824                      0.517234
b_mileage_b                                        1.000000                      0.030238
b_range_pw1_b                                      0.030238                      1.000000
b_range_pw2_b                                      0.035709                     -0.222937
b_range_pw3_b                                     -0.040347                      0.108975
b_loss_pw1_b                                       0.188666                      0.084541
b_loss_pw2_b                                       0.221367                      0.021957
b_loss_pw3_b                                       0.111350                      0.074237
b_packreplace_b                                   -0.013965                      0.085206
b_cellreplace_b                                   -0.034627                      0.078170
b_price_b                                          0.287428                     -0.009952
b_no_choice_c                                     -0.066328                      0.038841
b_mileage_c                                       -0.179703                     -0.033559
b_range_pw1_c                                      0.061658                      0.124559
b_range_pw2_c                                      0.051782                      0.098357
b_range_pw3_c                                      0.007157                      0.083946
b_loss_pw1_c                                       0.010477                     -0.025569
b_loss_pw2_c                                      -0.002165                      0.070545
b_loss_pw3_c                                      -0.001491                      0.033133
b_packreplace_c                                   -0.003355                      0.005856
b_cellreplace_c                                    0.006982                      0.003229
b_price_c                                         -0.082167                     -0.108777
b_no_choice_d                                     -0.025033                     -0.020733
b_mileage_d                                       -0.153585                      0.002061
b_range_pw1_d                                     -0.004689                     -0.033692
b_range_pw2_d                                     -0.012445                      0.022525
b_range_pw3_d                                      0.012592                      0.003596
b_loss_pw1_d                                       0.034583                     -0.012082
b_loss_pw2_d                                       0.072854                     -0.015859
b_loss_pw3_d                                       0.033642                     -0.006158
b_packreplace_d                                   -0.006621                     -0.018696
b_cellreplace_d                                   -0.015038                     -0.021885
b_price_d                                         -0.039512                      0.007384
b_no_choice_e                                      0.001528                     -0.007285
b_mileage_e                                       -0.042040                    9.8282e-04
b_range_pw1_e                                      0.027015                     -0.013646
b_range_pw2_e                                     -0.009100                      0.020843
b_range_pw3_e                                      0.003077                      0.006598
b_loss_pw1_e                                       0.004977                     -0.013657
b_loss_pw2_e                                       0.011168                      0.005709
b_loss_pw3_e                                       0.006487                      0.002444
b_packreplace_e                                    0.007639                    -8.956e-05
b_cellreplace_e                                    0.009614                   -1.8615e-04
b_price_e                                         -0.033026                      0.005094
b_no_choice_f                                     -0.044640                     -0.056972
b_mileage_f                                       -0.060128                     -0.020617
b_range_pw1_f                                     -0.007015                     -0.097536
b_range_pw2_f                                     -0.010518                      0.014713
b_range_pw3_f                                     -0.016258                     -0.017478
b_loss_pw1_f                                      -0.036842                     -0.019002
b_loss_pw2_f                                      -0.020255                      0.014684
b_loss_pw3_f                                      -0.014426                     -0.011437
b_packreplace_f                                    0.024950                      0.003232
b_cellreplace_f                                    0.030960                      0.014297
b_price_f                                         -0.018816                     -0.019248
delta_b                                            0.036674                      0.005245
gamma_EV_rangeanxiety_b                           -0.013440                      0.006974
gamma_risktaker_b                                  0.041430                     -0.002487
gamma_hhincome_b                                   0.003811                      0.006000
gamma_ev_charge_b                                4.3502e-04                      0.017226
gamma_knowledge_ev_b                             8.7967e-04                      0.004723
gamma_evb_environment_agree_b                     -0.027254                     -0.012313
gamma_evb_function_disagree_b                     -0.001986                      0.019149
gamma_hhveh_fuel_b                                -0.027007                      0.002607
gamma_veh_range_b                                9.8673e-04                      0.039455
gamma_suv_b                                       -0.020245                     -0.065755
delta_c                                           -0.016394                     -0.030157
gamma_EV_rangeanxiety_c                         -7.3434e-04                     -0.024955
gamma_risktaker_c                                 -0.019347                     -0.004974
gamma_hhincome_c                                  -0.003602                     -0.007931
gamma_ev_charge_c                                  0.005286                      0.010117
gamma_knowledge_ev_c                               0.007934                      0.004334
gamma_evb_environment_agree_c                      0.025345                      0.007908
gamma_evb_function_disagree_c                      0.001940                      0.010320
gamma_hhveh_fuel_c                                 0.014141                      0.010499
gamma_veh_range_c                                 -0.002847                      0.009385
gamma_suv_c                                        0.025520                      0.018872
delta_d                                            0.006685                      0.012682
gamma_EV_rangeanxiety_d                           -0.011114                      0.003592
gamma_risktaker_d                                 -0.013195                     -0.013607
gamma_hhincome_d                                  -0.003656                      0.007690
gamma_ev_charge_d                                  0.006270                     -0.002333
gamma_knowledge_ev_d                              -0.010871                      0.001442
gamma_evb_environment_agree_d                     -0.001885                    1.4616e-04
gamma_evb_function_disagree_d                     -0.004921                    2.2551e-04
gamma_hhveh_fuel_d                                 0.012242                      0.001006
gamma_veh_range_d                                 -0.020266                     -0.012238
gamma_suv_d                                       -0.011314                     -0.011055
delta_e                                           -0.004879                   -8.0194e-04
gamma_EV_rangeanxiety_e                            0.001867                      0.001655
gamma_risktaker_e                                 -0.008410                     -0.001999
gamma_hhincome_e                                   0.001939                     -0.002326
gamma_ev_charge_e                                  0.002649                    9.0752e-04
gamma_knowledge_ev_e                              -0.003359                      0.002188
gamma_evb_environment_agree_e                      0.002607                      0.001895
gamma_evb_function_disagree_e                      0.003694                     -0.002829
gamma_hhveh_fuel_e                                 0.005180                     -0.003116
gamma_veh_range_e                                  0.004587                     -0.001815
gamma_suv_e                                       -0.004732                      0.014636
delta_f                                           -0.015191                      0.019153
gamma_EV_rangeanxiety_f                            0.006270                     -0.003578
gamma_risktaker_f                                 -0.022745                     -0.002905
gamma_hhincome_f                                   0.012381                     -0.017256
gamma_ev_charge_f                                 -0.014231                     -0.012495
gamma_knowledge_ev_f                               0.004342                     -0.003585
gamma_evb_environment_agree_f                      0.010690                      0.020113
gamma_evb_function_disagree_f                      0.007202                     -0.007224
gamma_hhveh_fuel_f                              -4.2695e-04                     -0.009867
gamma_veh_range_f                                  0.016036                     -0.017298
gamma_suv_f                                        0.006853                     -0.010673
                                              b_range_pw2_b                 b_range_pw3_b
b_no_choice_a                                     -0.004690                     -0.005561
b_mileage_a                                        0.007896                     -0.012155
b_range_pw1_a                                     -0.010789                    9.6012e-04
b_range_pw2_a                                      0.009730                     -0.002446
b_range_pw3_a                                      0.001649                     -0.002448
b_loss_pw1_a                                       0.004991                     -0.007415
b_loss_pw2_a                                       0.002513                     -0.006677
b_loss_pw3_a                                      -0.001354                   -4.1701e-04
b_packreplace_a                                    0.003011                     -0.002825
b_cellreplace_a                                   -0.002868                      0.004125
b_price_a                                         -0.003103                   -7.9420e-04
b_no_choice_b                                      0.052044                      0.085130
b_mileage_b                                        0.035709                     -0.040347
b_range_pw1_b                                     -0.222937                      0.108975
b_range_pw2_b                                      1.000000                     -0.279692
b_range_pw3_b                                     -0.279692                      1.000000
b_loss_pw1_b                                       0.051786                      0.069028
b_loss_pw2_b                                      -0.014320                      0.078757
b_loss_pw3_b                                      -0.019419                      0.028245
b_packreplace_b                                    0.019664                      0.064074
b_cellreplace_b                                    0.001536                      0.075355
b_price_b                                          0.011343                     -0.136796
b_no_choice_c                                     -0.046936                     -0.083852
b_mileage_c                                       -0.048777                      0.058491
b_range_pw1_c                                      0.048765                      0.010381
b_range_pw2_c                                      0.057772                      0.101041
b_range_pw3_c                                      0.075281                      0.282549
b_loss_pw1_c                                     8.7163e-04                     -0.033298
b_loss_pw2_c                                       0.065674                      0.093290
b_loss_pw3_c                                       0.004331                      0.013893
b_packreplace_c                                   -0.004533                      0.067758
b_cellreplace_c                                    0.004690                      0.044395
b_price_c                                         -0.095472                     -0.211731
b_no_choice_d                                     -0.018816                     -0.024409
b_mileage_d                                       -0.023175                     -0.009437
b_range_pw1_d                                      0.024600                      0.009396
b_range_pw2_d                                     -0.057262                      0.058224
b_range_pw3_d                                      0.038356                     -0.036562
b_loss_pw1_d                                      -0.028134                     -0.044727
b_loss_pw2_d                                      -0.007713                     -0.055843
b_loss_pw3_d                                      -0.024417                     -0.021587
b_packreplace_d                                    0.007627                      0.001136
b_cellreplace_d                                    0.011875                     -0.005087
b_price_d                                         -0.016805                     -0.004503
b_no_choice_e                                      0.037935                      0.028404
b_mileage_e                                       -0.012494                      0.009872
b_range_pw1_e                                      0.068571                      0.006871
b_range_pw2_e                                     -0.058791                      0.021263
b_range_pw3_e                                      0.040900                     -0.056130
b_loss_pw1_e                                      -0.016013                      0.018969
b_loss_pw2_e                                       0.002021                      0.011883
b_loss_pw3_e                                       0.007466                      0.021175
b_packreplace_e                                  9.9369e-04                     -0.007323
b_cellreplace_e                                    0.002897                     -0.013439
b_price_e                                          0.010476                     -0.009658
b_no_choice_f                                     -0.002998                     -0.064305
b_mileage_f                                        0.015084                     -0.037056
b_range_pw1_f                                      0.005355                     -0.071914
b_range_pw2_f                                     -0.073617                      0.040559
b_range_pw3_f                                      0.006703                     -0.035761
b_loss_pw1_f                                      -0.002455                      0.001342
b_loss_pw2_f                                      -0.022385                      0.031635
b_loss_pw3_f                                      -0.009955                    2.1923e-04
b_packreplace_f                                  5.1648e-04                     -0.018838
b_cellreplace_f                                   -0.004271                      0.007541
b_price_f                                          0.008176                     -0.034027
delta_b                                            0.013811                     -0.037980
gamma_EV_rangeanxiety_b                            0.004318                     -0.005348
gamma_risktaker_b                                  0.003539                     -0.037446
gamma_hhincome_b                                  -0.017689                      0.030747
gamma_ev_charge_b                                 -0.009847                      0.041287
gamma_knowledge_ev_b                               0.011431                      0.037831
gamma_evb_environment_agree_b                     -0.009309                      0.031632
gamma_evb_function_disagree_b                      0.009003                      0.042881
gamma_hhveh_fuel_b                                -0.017178                      0.021984
gamma_veh_range_b                                  0.011762                      0.040379
gamma_suv_b                                       -0.015116                      0.062565
delta_c                                           -0.047881                      0.005605
gamma_EV_rangeanxiety_c                           -0.002510                      0.008722
gamma_risktaker_c                                 -0.012583                      0.010385
gamma_hhincome_c                                   0.019681                     -0.018568
gamma_ev_charge_c                                  0.018827                     -0.011881
gamma_knowledge_ev_c                              -0.002383                     -0.027404
gamma_evb_environment_agree_c                      0.017116                     -0.021096
gamma_evb_function_disagree_c                      0.011135                      0.019639
gamma_hhveh_fuel_c                                 0.019925                      0.009042
gamma_veh_range_c                                  0.015387                      0.010438
gamma_suv_c                                       -0.027642                     -0.222045
delta_d                                         -1.2767e-04                    7.8873e-04
gamma_EV_rangeanxiety_d                           -0.001475                      0.006267
gamma_risktaker_d                                 -0.002032                     -0.011048
gamma_hhincome_d                                   0.002872                      0.008483
gamma_ev_charge_d                                  0.011959                     8.721e-05
gamma_knowledge_ev_d                              -0.002156                      0.001687
gamma_evb_environment_agree_d                      0.009307                      0.010307
gamma_evb_function_disagree_d                     -0.006599                      0.005061
gamma_hhveh_fuel_d                                 0.008086                     -0.007767
gamma_veh_range_d                                  0.009361                      0.018778
gamma_suv_d                                       -0.014136                      0.035802
delta_e                                           -0.007076                      0.011938
gamma_EV_rangeanxiety_e                            0.006691                     -0.003970
gamma_risktaker_e                                 -0.002621                     -0.011929
gamma_hhincome_e                                   0.007976                     -0.010805
gamma_ev_charge_e                                  0.001807                     -0.005665
gamma_knowledge_ev_e                              -0.005930                      0.002850
gamma_evb_environment_agree_e                      0.001907                      0.006212
gamma_evb_function_disagree_e                      0.003412                      0.001544
gamma_hhveh_fuel_e                                 0.002369                     -0.003662
gamma_veh_range_e                                  0.003196                     -0.011335
gamma_suv_e                                        0.009145                     -0.002915
delta_f                                           -0.010736                      0.006669
gamma_EV_rangeanxiety_f                            0.008200                     -0.021620
gamma_risktaker_f                                 -0.004535                     -0.019832
gamma_hhincome_f                                   0.016609                     -0.022127
gamma_ev_charge_f                                  0.003062                      0.002923
gamma_knowledge_ev_f                               0.001268                     -0.002833
gamma_evb_environment_agree_f                     -0.009785                      0.008972
gamma_evb_function_disagree_f                      0.004697                     -0.016510
gamma_hhveh_fuel_f                                 0.002168                   -5.0619e-04
gamma_veh_range_f                                  0.005584                     -0.013008
gamma_suv_f                                       -0.002095                      0.043381
                                               b_loss_pw1_b                  b_loss_pw2_b
b_no_choice_a                                     -0.007666                     -0.008983
b_mileage_a                                       -0.016224                     -0.021795
b_range_pw1_a                                     -0.002624                   -2.2402e-04
b_range_pw2_a                                     -0.001029                     -0.004948
b_range_pw3_a                                     -0.001886                     -0.004096
b_loss_pw1_a                                      -0.006047                     -0.014017
b_loss_pw2_a                                      -0.007499                     -0.007007
b_loss_pw3_a                                    -3.1818e-04                     -0.002428
b_packreplace_a                                   -0.004258                     -0.007423
b_cellreplace_a                                    0.002670                      0.004882
b_price_a                                          0.001398                      0.004541
b_no_choice_b                                      0.644567                      0.362639
b_mileage_b                                        0.188666                      0.221367
b_range_pw1_b                                      0.084541                      0.021957
b_range_pw2_b                                      0.051786                     -0.014320
b_range_pw3_b                                      0.069028                      0.078757
b_loss_pw1_b                                       1.000000                      0.007650
b_loss_pw2_b                                       0.007650                      1.000000
b_loss_pw3_b                                       0.209014                     -0.189447
b_packreplace_b                                    0.071518                      0.041935
b_cellreplace_b                                    0.092770                      0.047929
b_price_b                                          0.311279                      0.287176
b_no_choice_c                                     -0.108121                     -0.036156
b_mileage_c                                       -0.005622                     -0.002054
b_range_pw1_c                                      0.072620                      0.043243
b_range_pw2_c                                      0.123131                      0.073052
b_range_pw3_c                                      0.210401                      0.177180
b_loss_pw1_c                                      -0.135632                      0.012140
b_loss_pw2_c                                       0.119208                     -0.033278
b_loss_pw3_c                                       0.016837                      0.087884
b_packreplace_c                                    0.037956                      0.028101
b_cellreplace_c                                    0.027902                      0.017120
b_price_c                                         -0.213620                     -0.138373
b_no_choice_d                                      0.027870                      0.077157
b_mileage_d                                       -0.038032                     -0.022543
b_range_pw1_d                                      0.019463                      0.014109
b_range_pw2_d                                      0.016722                      0.018385
b_range_pw3_d                                      0.029149                      0.014384
b_loss_pw1_d                                      -0.023297                      0.108744
b_loss_pw2_d                                       0.156679                      0.063826
b_loss_pw3_d                                       0.046284                      0.116363
b_packreplace_d                                   -0.015728                     -0.022064
b_cellreplace_d                                   -0.005478                     -0.027718
b_price_d                                         -0.013232                      0.012979
b_no_choice_e                                      0.028521                      0.044152
b_mileage_e                                        0.022337                      0.020428
b_range_pw1_e                                      0.030749                      0.014893
b_range_pw2_e                                     -0.004941                     -0.001719
b_range_pw3_e                                     -0.005787                     -0.008034
b_loss_pw1_e                                      -0.032288                      0.042350
b_loss_pw2_e                                       0.043993                     -0.004587
b_loss_pw3_e                                       0.014800                      0.047272
b_packreplace_e                                 -2.6937e-04                     -0.003514
b_cellreplace_e                                   -0.012046                     -0.012058
b_price_e                                         -0.023263                     -0.044138
b_no_choice_f                                     -0.076756                     -0.032897
b_mileage_f                                       -0.014272                     -0.010653
b_range_pw1_f                                     -0.034111                     -0.016515
b_range_pw2_f                                   -8.1779e-04                      0.006342
b_range_pw3_f                                     -0.001954                      0.004587
b_loss_pw1_f                                      -0.040055                      0.036110
b_loss_pw2_f                                       0.040771                     -0.031010
b_loss_pw3_f                                      -0.021590                      0.050492
b_packreplace_f                                 -1.6316e-04                      0.007218
b_cellreplace_f                                    0.007359                      0.021476
b_price_f                                         -0.075804                     -0.054492
delta_b                                            0.030133                      0.044611
gamma_EV_rangeanxiety_b                           -0.009131                     -0.012274
gamma_risktaker_b                                  0.007892                      0.011181
gamma_hhincome_b                                   0.015688                      0.005525
gamma_ev_charge_b                                  0.013319                      0.020373
gamma_knowledge_ev_b                               0.011640                      0.014368
gamma_evb_environment_agree_b                     -0.004837                     -0.006657
gamma_evb_function_disagree_b                      0.026757                     -0.004337
gamma_hhveh_fuel_b                              -2.0730e-04                     -0.012389
gamma_veh_range_b                                  0.044305                      0.037384
gamma_suv_b                                       -0.003325                      0.016394
delta_c                                           -0.012826                      0.006471
gamma_EV_rangeanxiety_c                           -0.011063                     -0.014697
gamma_risktaker_c                                 -0.007891                     -0.009950
gamma_hhincome_c                                  -0.009305                    6.3882e-04
gamma_ev_charge_c                                  0.010094                      0.004812
gamma_knowledge_ev_c                              -0.006572                     -0.014875
gamma_evb_environment_agree_c                      0.005465                      0.002023
gamma_evb_function_disagree_c                      0.017591                      0.024522
gamma_hhveh_fuel_c                                 0.014632                      0.015407
gamma_veh_range_c                                  0.002456                     -0.011829
gamma_suv_c                                       -0.094379                     -0.088728
delta_d                                            0.013842                      0.011950
gamma_EV_rangeanxiety_d                           -0.021687                     -0.028604
gamma_risktaker_d                                 -0.018584                     -0.014795
gamma_hhincome_d                                  -0.007837                     -0.005236
gamma_ev_charge_d                                  0.017145                      0.011598
gamma_knowledge_ev_d                            -3.0735e-04                     -0.009046
gamma_evb_environment_agree_d                     -0.003083                    1.1056e-04
gamma_evb_function_disagree_d                      0.005875                      0.014426
gamma_hhveh_fuel_d                                -0.003518                   -9.0897e-04
gamma_veh_range_d                                 -0.027716                     -0.035946
gamma_suv_d                                       -0.013558                     -0.009991
delta_e                                            0.011756                      0.009124
gamma_EV_rangeanxiety_e                           -0.008210                     -0.011489
gamma_risktaker_e                                 -0.015626                     -0.017933
gamma_hhincome_e                                  -0.007852                     -0.008831
gamma_ev_charge_e                                 -0.002073                     -0.005107
gamma_knowledge_ev_e                             6.0512e-04                      0.006337
gamma_evb_environment_agree_e                      0.003973                      0.011856
gamma_evb_function_disagree_e                    9.6343e-04                      0.002809
gamma_hhveh_fuel_e                                -0.003095                    4.9006e-04
gamma_veh_range_e                                 -0.009036                     -0.009356
gamma_suv_e                                      7.2718e-04                     -0.009747
delta_f                                            0.015757                      0.014581
gamma_EV_rangeanxiety_f                           -0.015167                     -0.016440
gamma_risktaker_f                                 -0.018473                     -0.013855
gamma_hhincome_f                                  -0.017490                     -0.016614
gamma_ev_charge_f                                 -0.009936                     -0.013854
gamma_knowledge_ev_f                              -0.009552                     -0.006670
gamma_evb_environment_agree_f                      0.012984                      0.009454
gamma_evb_function_disagree_f                     -0.013760                     -0.005055
gamma_hhveh_fuel_f                                -0.012976                     -0.008966
gamma_veh_range_f                                 -0.014235                     -0.006972
gamma_suv_f                                        0.018390                      0.014309
                                               b_loss_pw3_b               b_packreplace_b
b_no_choice_a                                     -0.002293                      0.002370
b_mileage_a                                       -0.007576                      0.005305
b_range_pw1_a                                    -9.895e-05                     -0.002011
b_range_pw2_a                                     -0.003438                      0.003361
b_range_pw3_a                                     -0.004018                    8.1631e-04
b_loss_pw1_a                                      -0.003987                      0.002868
b_loss_pw2_a                                      -0.006871                      0.004825
b_loss_pw3_a                                       0.004766                      0.001468
b_packreplace_a                                   -0.002345                      0.008294
b_cellreplace_a                                  7.6434e-04                      0.002473
b_price_a                                          0.004634                    7.0589e-04
b_no_choice_b                                      0.225180                      0.136859
b_mileage_b                                        0.111350                     -0.013965
b_range_pw1_b                                      0.074237                      0.085206
b_range_pw2_b                                     -0.019419                      0.019664
b_range_pw3_b                                      0.028245                      0.064074
b_loss_pw1_b                                       0.209014                      0.071518
b_loss_pw2_b                                      -0.189447                      0.041935
b_loss_pw3_b                                       1.000000                     -0.017277
b_packreplace_b                                   -0.017277                      1.000000
b_cellreplace_b                                    0.008866                      0.579260
b_price_b                                          0.128226                     -0.031010
b_no_choice_c                                     -0.024458                     -0.047126
b_mileage_c                                      4.7314e-04                     -0.021831
b_range_pw1_c                                      0.038757                      0.022700
b_range_pw2_c                                      0.053914                      0.058566
b_range_pw3_c                                      0.073537                      0.067074
b_loss_pw1_c                                      -0.012924                     -0.019918
b_loss_pw2_c                                       0.053419                      0.051420
b_loss_pw3_c                                      -0.069281                      0.008381
b_packreplace_c                                    0.022102                     -0.145595
b_cellreplace_c                                    0.029906                     -0.097022
b_price_c                                         -0.099806                     -0.057587
b_no_choice_d                                      0.039589                     -0.022133
b_mileage_d                                       -0.011559                      0.001494
b_range_pw1_d                                      0.006838                     -0.011233
b_range_pw2_d                                     -0.003692                      0.028759
b_range_pw3_d                                      0.006425                      0.018935
b_loss_pw1_d                                       0.038881                     -0.011745
b_loss_pw2_d                                       0.110629                     -0.061276
b_loss_pw3_d                                      -0.042185                     -0.007819
b_packreplace_d                                    0.023446                     -0.169425
b_cellreplace_d                                    0.008810                     -0.134896
b_price_d                                          0.002704                      0.024985
b_no_choice_e                                      0.013558                   -9.1108e-04
b_mileage_e                                        0.004019                    4.1722e-04
b_range_pw1_e                                      0.011850                      0.015967
b_range_pw2_e                                      0.001721                      0.001532
b_range_pw3_e                                      0.006578                      0.003545
